qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,acc,gene,compartment,specimen,kingdom,supergroup,phylum,clade,class,order,family,genus,species
AAAA02046270.109.1957_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,AAAA02046270.109.1957_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,100.0,1849,0,0,1,1849,1,1849,0.0,3335,AAAA02046270.109.1957_U,18S_rRNA,nucleus,,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Oryza,Oryza_sativa
AAAA02046342.1240.2723_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,AAAA02046342.1240.2723_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,100.0,1484,0,0,1,1484,1,1484,0.0,2677,AAAA02046342.1240.2723_U,18S_rRNA,nucleus,,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Oryza,Oryza_sativa
AAAB01004501.1.1294_U|18S_rRNA|nucleus|strain_PEST|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Anopheles|Anopheles_gambiae,AAAB01004501.1.1294_U|18S_rRNA|nucleus|strain_PEST|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Anopheles|Anopheles_gambiae,100.0,1294,0,0,1,1294,1,1294,0.0,2334,AAAB01004501.1.1294_U,18S_rRNA,nucleus,strain_PEST,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Anopheles,Anopheles_gambiae
AABR05132732.1.1428_U|18S_rRNA|nucleus|strain_mixed|Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Mammalia_X|Mammalia_X_sp.,AABR05132732.1.1428_U|18S_rRNA|nucleus|strain_mixed|Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Mammalia_X|Mammalia_X_sp,100.0,1428,0,0,1,1428,1,1428,0.0,2576,AABR05132732.1.1428_U,18S_rRNA,nucleus,strain_mixed,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Mammalia_X,Mammalia_X_sp
AABX02000204.122.1916_U|18S_rRNA|nucleus|strain_OR74A|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Neurospora|Neurospora_crassa,AABX02000204.122.1916_U|18S_rRNA|nucleus|strain_OR74A|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Neurospora|Neurospora_crassa,100.0,1795,0,0,1,1795,1,1795,0.0,3238,AABX02000204.122.1916_U,18S_rRNA,nucleus,strain_OR74A,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Neurospora,Neurospora_crassa
AABX02000236.1792.3586_U|18S_rRNA|nucleus|strain_OR74A|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Neurospora|Neurospora_crassa,AABX02000236.1792.3586_U|18S_rRNA|nucleus|strain_OR74A|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Neurospora|Neurospora_crassa,100.0,1795,0,0,1,1795,1,1795,0.0,3238,AABX02000236.1792.3586_U,18S_rRNA,nucleus,strain_OR74A,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Neurospora,Neurospora_crassa
AACT01030526.2.1210_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_savignyi,AACT01030526.2.1210_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_savignyi,100.0,1209,0,0,1,1209,1,1209,0.0,2181,AACT01030526.2.1210_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Ascidiacea,Ciona,Ciona_savignyi
AACV01033783.1.1411_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,AACV01033783.1.1411_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Oryza|Oryza_sativa,100.0,1411,0,0,1,1411,1,1411,0.0,2545,AACV01033783.1.1411_U,18S_rRNA,nucleus,,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Oryza,Oryza_sativa
AADB02002333.14401.16248_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Homo|Homo_sapiens,AADB02002333.14401.16248_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Homo|Homo_sapiens,100.0,1848,0,0,1,1848,1,1848,0.0,3333,AADB02002333.14401.16248_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Homo,Homo_sapiens
AAEC03000009.18919.20729_U|18S_rRNA|nucleus|strain_RS|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Coccidioides|Coccidioides_immitis,AAEC03000009.18919.20729_UC|18S_rRNA|nucleus|strain_RS|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Coccidioides|Coccidioides_immitis,100.0,1811,0,0,1,1811,1,1811,0.0,3267,AAEC03000009.18919.20729_UC,18S_rRNA,nucleus,strain_RS,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Coccidioides,Coccidioides_immitis
